,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.93,18.42,41.57,72,0,2.06,ZA,1618867372
1,Dawei,14.08,98.2,45.38,90,87,1.12,MM,1618867458
2,Flinders,-34.58,150.86,37.87,83,0,0.45,AU,1618867458
